file,detected_encoding,confidence,converted_path,notes
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_동동국밥 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_동동국밥 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_동방축산 장전점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_동방축산 장전점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_돼지집딸_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_돼지집딸_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_두끼 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_두끼 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_든든김밥&분식_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_든든김밥&분식_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_등촌샤브칼국수 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_등촌샤브칼국수 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_디귿_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_디귿_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_디델리 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_디델리 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_디저트39 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_디저트39 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_디프런트데이즈 부산대본점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_디프런트데이즈 부산대본점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_라비앙로즈_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_라비앙로즈_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_라이크댓커피_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_라이크댓커피_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_라화공방 부산대점 (26호점)_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_라화공방 부산대점 (26호점)_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_레스토랑 우디_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_레스토랑 우디_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_로베오네_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_로베오네_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_로운 샤브샤브 NC부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_로운 샤브샤브 NC부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_로제이브커피 스페셜티_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_로제이브커피 스페셜티_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_리멘시타_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_리멘시타_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_리틀프랑 본점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_리틀프랑 본점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_마장동고기집 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_마장동고기집 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_만서리 이가네 막국수 본점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_만서리 이가네 막국수 본점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_만석꾼풍천산삼민물장어_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_만석꾼풍천산삼민물장어_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_맘스터치 부산대북문점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_맘스터치 부산대북문점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_맘스터치 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_맘스터치 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_맛나감자탕 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_맛나감자탕 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_맛있는고기에솜씨를더하다 장전점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_맛있는고기에솜씨를더하다 장전점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_맥도날드 부곡점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_맥도날드 부곡점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_맥도날드 부산대2호점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_맥도날드 부산대2호점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_메가MGC커피 부산부곡점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_메가MGC커피 부산부곡점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_면식당 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_면식당 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_명물토스트_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_명물토스트_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_모름지기 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_모름지기 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_모모후_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_모모후_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_모시모시 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_모시모시 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_몽벨쉘터 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_몽벨쉘터 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_무봤나촌닭 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_무봤나촌닭 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_문화카페 MERGE_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_문화카페 MERGE_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_미각반점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_미각반점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_미분당 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_미분당 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_미진황소한우곱창_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_미진황소한우곱창_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_바닐바닐_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_바닐바닐_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_박가부대 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_박가부대 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_박기모조방낙지_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_박기모조방낙지_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_백마돼지갈비_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_백마돼지갈비_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_백양숯불갈비 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_백양숯불갈비 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_백억커피 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_백억커피 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_백초밥_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_백초밥_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_버거킹 부산금정오일뱅크점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_버거킹 부산금정오일뱅크점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_버들로스터리_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_버들로스터리_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_버터레코드_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_버터레코드_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_번아웃커피 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_번아웃커피 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_벽제령_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_벽제령_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_보글보글국밥_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_보글보글국밥_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_보노베리 본점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_보노베리 본점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_부들파이터 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_부들파이터 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_부막숯불닭갈비 부산대점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_부막숯불닭갈비 부산대점_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_부산대 매일꽃돈_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_부산대 매일꽃돈_2025-09-01.csv,
C:\Users\choem\OneDrive\바탕 화면\datalist\리뷰_부산대 비비드드림 본점_2025-09-01.csv,utf_8,0.0,C:\Users\choem\OneDrive\바탕 화면\datalist\utf8\리뷰_부산대 비비드드림 본점_2025-09-01.csv,
